"Variant","SourceSHA256","SonarAnalysisKey","SonarRevision","SonarAnalysisDate","IssueKey","Rule","Type","IssueStatus","Severity","MaintainabilitySeverity","Line","Message"
"C3","767BE6FEE45068C5B11BF692669136281EE9F2A568EC8A8CA275C0F181A02E36","d72e9a5e-9d67-4fb5-901c-9076217ac5a6","bb7d0dc2ad568ddbf0b1c7015cae02c07adb649b","2026-08-28T16:18:20+0000","AaBJLXcfieAPpelvt7ED","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","341","Define a constant instead of duplicating this literal ""$pcsubclass"" 3 times."
"C3","767BE6FEE45068C5B11BF692669136281EE9F2A568EC8A8CA275C0F181A02E36","d72e9a5e-9d67-4fb5-901c-9076217ac5a6","bb7d0dc2ad568ddbf0b1c7015cae02c07adb649b","2026-08-28T16:18:20+0000","AaBJLXceieAPpelvt7D-","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","1247","Define a constant instead of duplicating this literal ""<init>"" 22 times."
"C3","767BE6FEE45068C5B11BF692669136281EE9F2A568EC8A8CA275C0F181A02E36","d72e9a5e-9d67-4fb5-901c-9076217ac5a6","bb7d0dc2ad568ddbf0b1c7015cae02c07adb649b","2026-08-28T16:18:20+0000","AaBJLXcfieAPpelvt7EQ","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","1346","Define a constant instead of duplicating this literal ""ClearFields"" 3 times."
"C3","767BE6FEE45068C5B11BF692669136281EE9F2A568EC8A8CA275C0F181A02E36","d72e9a5e-9d67-4fb5-901c-9076217ac5a6","bb7d0dc2ad568ddbf0b1c7015cae02c07adb649b","2026-08-28T16:18:20+0000","AaBJLXcfieAPpelvt7EA","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","1453","Define a constant instead of duplicating this literal ""CopyKeyFieldsFromObjectId"" 5 times."
"C3","767BE6FEE45068C5B11BF692669136281EE9F2A568EC8A8CA275C0F181A02E36","d72e9a5e-9d67-4fb5-901c-9076217ac5a6","bb7d0dc2ad568ddbf0b1c7015cae02c07adb649b","2026-08-28T16:18:20+0000","AaBJLXcfieAPpelvt7EP","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","1468","Define a constant instead of duplicating this literal ""GetManagedFieldCount"" 3 times."
"C3","767BE6FEE45068C5B11BF692669136281EE9F2A568EC8A8CA275C0F181A02E36","d72e9a5e-9d67-4fb5-901c-9076217ac5a6","bb7d0dc2ad568ddbf0b1c7015cae02c07adb649b","2026-08-28T16:18:20+0000","AaBJLXcfieAPpelvt7ER","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","2109","Define a constant instead of duplicating this literal ""CopyKeyFieldsToObjectId"" 4 times."
"C3","767BE6FEE45068C5B11BF692669136281EE9F2A568EC8A8CA275C0F181A02E36","d72e9a5e-9d67-4fb5-901c-9076217ac5a6","bb7d0dc2ad568ddbf0b1c7015cae02c07adb649b","2026-08-28T16:18:20+0000","AaBJLXcfieAPpelvt7EK","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","2149","Define a constant instead of duplicating this literal ""NewObjectIdInstance"" 4 times."
"C3","767BE6FEE45068C5B11BF692669136281EE9F2A568EC8A8CA275C0F181A02E36","d72e9a5e-9d67-4fb5-901c-9076217ac5a6","bb7d0dc2ad568ddbf0b1c7015cae02c07adb649b","2026-08-28T16:18:20+0000","AaBJLXcfieAPpelvt7EJ","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","2220","Define a constant instead of duplicating this literal ""getId"" 21 times."
"C3","767BE6FEE45068C5B11BF692669136281EE9F2A568EC8A8CA275C0F181A02E36","d72e9a5e-9d67-4fb5-901c-9076217ac5a6","bb7d0dc2ad568ddbf0b1c7015cae02c07adb649b","2026-08-28T16:18:20+0000","AaBJLXcfieAPpelvt7EN","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","2364","Define a constant instead of duplicating this literal ""findField"" 4 times."
"C3","767BE6FEE45068C5B11BF692669136281EE9F2A568EC8A8CA275C0F181A02E36","d72e9a5e-9d67-4fb5-901c-9076217ac5a6","bb7d0dc2ad568ddbf0b1c7015cae02c07adb649b","2026-08-28T16:18:20+0000","AaBJLXcfieAPpelvt7EG","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","3110","Define a constant instead of duplicating this literal ""GetIDOwningClass"" 3 times."
