"ReleaseIndex","Version","CommitId","Class","NSmells"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java","0"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java","5"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java","0"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java","0"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java","1"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java","0"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java","0"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java","37"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java","2"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java","2"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java","6"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingRepositoryValue.java","3"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java","4"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java","8"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java","7"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java","17"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java","0"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java","0"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/EagerFetchModes.java","1"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java","6"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/InstanceResultObjectProvider.java","1"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCBrokerFactory.java","4"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfiguration.java","0"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java","7"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCLockManager.java","0"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCSeq.java","0"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStore.java","2"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java","77"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java","32"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/LRSSizes.java","1"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/MappedQueryResultObjectProvider.java","49"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java","24"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/OperationOrderUpdateManager.java","2"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PagingResultObjectProvider.java","18"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java","6"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java","0"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java","7"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ProjectionResultObjectProvider.java","1"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLProjectionResultObjectProvider.java","7"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java","18"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java","7"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java","37"
