"ReleaseIndex","Version","CommitId","Class","SonarPath","IssueKey","Rule","Type","LegacySeverity","MaintainabilitySeverity","Line","Status","CleanCodeAttribute","CleanCodeAttributeCategory","Message"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/conf/AutoDetachValue.java","src/main/java/org/apache/openjpa/conf/AutoDetachValue.java","AaAKIzSsRXPx87p8MppM","java:S1161","CODE_SMELL","MAJOR","MEDIUM","53","OPEN","CLEAR","INTENTIONAL","Add the ""@Override"" annotation above this method signature"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/conf/BrokerFactoryValue.java","src/main/java/org/apache/openjpa/conf/BrokerFactoryValue.java","AaAKIzSfRXPx87p8MppE","java:S1172","CODE_SMELL","MAJOR","MEDIUM","83","OPEN","CLEAR","INTENTIONAL","Remove this unused method parameter ""cp""."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java","src/main/java/org/apache/openjpa/conf/Compatibility.java","AaAKIzR3RXPx87p8Mpno","java:S116","CODE_SMELL","MINOR","LOW","23","OPEN","IDENTIFIABLE","CONSISTENT","Rename this field ""_strictIdValues"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java","src/main/java/org/apache/openjpa/conf/Compatibility.java","AaAKIzR3RXPx87p8Mpnp","java:S116","CODE_SMELL","MINOR","LOW","24","OPEN","IDENTIFIABLE","CONSISTENT","Rename this field ""_hollowLookups"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java","src/main/java/org/apache/openjpa/conf/Compatibility.java","AaAKIzR3RXPx87p8Mpnq","java:S116","CODE_SMELL","MINOR","LOW","25","OPEN","IDENTIFIABLE","CONSISTENT","Rename this field ""_checkStore"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java","src/main/java/org/apache/openjpa/conf/Compatibility.java","AaAKIzR3RXPx87p8Mpnr","java:S116","CODE_SMELL","MINOR","LOW","26","OPEN","IDENTIFIABLE","CONSISTENT","Rename this field ""_copyIds"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java","src/main/java/org/apache/openjpa/conf/Compatibility.java","AaAKIzR3RXPx87p8Mpns","java:S116","CODE_SMELL","MINOR","LOW","27","OPEN","IDENTIFIABLE","CONSISTENT","Rename this field ""_closeOnCommit"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java","src/main/java/org/apache/openjpa/conf/Compatibility.java","AaAKIzR3RXPx87p8Mpnt","java:S116","CODE_SMELL","MINOR","LOW","28","OPEN","IDENTIFIABLE","CONSISTENT","Rename this field ""_quotedNumbers"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/conf/DetachOptions.java","src/main/java/org/apache/openjpa/conf/DetachOptions.java","AaAKIzSmRXPx87p8MppF","java:S116","CODE_SMELL","MINOR","LOW","29","OPEN","IDENTIFIABLE","CONSISTENT","Rename this field ""_field"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/conf/DetachOptions.java","src/main/java/org/apache/openjpa/conf/DetachOptions.java","AaAKIzSmRXPx87p8MppG","java:S116","CODE_SMELL","MINOR","LOW","30","OPEN","IDENTIFIABLE","CONSISTENT","Rename this field ""_transient"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
