"Variant","SourceSHA256","SonarAnalysisKey","SonarRevision","SonarAnalysisDate","IssueKey","Rule","Type","IssueStatus","Severity","MaintainabilitySeverity","Line","Message"
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaBJIMh7vHQDC_H9Co8I","java:S1066","CODE_SMELL","OPEN","MAJOR","MEDIUM","4123","Merge this if statement with the enclosing one."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaBJIMh7vHQDC_H9Co8R","java:S1905","CODE_SMELL","OPEN","MINOR","LOW","4679","Remove this unnecessary cast to ""String""."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaBJIMh7vHQDC_H9Co8S","java:S1905","CODE_SMELL","OPEN","MINOR","LOW","4693","Remove this unnecessary cast to ""String""."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz57","java:S1181","CODE_SMELL","OPEN","MAJOR","MEDIUM","193","Catch Exception instead of Throwable."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz59","java:S6355","CODE_SMELL","OPEN","MAJOR","MEDIUM","294","Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz5-","java:S6355","CODE_SMELL","OPEN","MAJOR","MEDIUM","370","Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6B","java:S3776","CODE_SMELL","OPEN","CRITICAL","HIGH","637","Refactor this method to reduce its Cognitive Complexity from 23 to the 15 allowed."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6C","java:S6213","CODE_SMELL","OPEN","MAJOR","MEDIUM","679","Rename this method to not match a restricted identifier."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz5b","java:S135","CODE_SMELL","OPEN","MINOR","LOW","737","Reduce the total number of break and continue statements in this loop to use at most one."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6G","java:S1135","CODE_SMELL","OPEN","INFO","INFO","778","Complete the task associated to this TODO comment."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6H","java:S3878","CODE_SMELL","OPEN","MINOR","LOW","792","Remove this array creation and simply pass the elements."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6J","java:S3776","CODE_SMELL","OPEN","CRITICAL","HIGH","933","Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6L","java:S3776","CODE_SMELL","OPEN","CRITICAL","HIGH","1102","Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6M","java:S125","CODE_SMELL","OPEN","MAJOR","MEDIUM","1550","This block of commented-out lines of code should be removed."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6N","java:S125","CODE_SMELL","OPEN","MAJOR","MEDIUM","1612","This block of commented-out lines of code should be removed."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz5X","java:S1199","CODE_SMELL","OPEN","MINOR","LOW","2132","Extract this nested code block into a method."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz5Y","java:S1199","CODE_SMELL","OPEN","MINOR","LOW","2142","Extract this nested code block into a method."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz5U","java:S1199","CODE_SMELL","OPEN","MINOR","LOW","2152","Extract this nested code block into a method."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz5V","java:S1199","CODE_SMELL","OPEN","MINOR","LOW","2162","Extract this nested code block into a method."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz5W","java:S1199","CODE_SMELL","OPEN","MINOR","LOW","2172","Extract this nested code block into a method."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz5Z","java:S1199","CODE_SMELL","OPEN","MINOR","LOW","2183","Extract this nested code block into a method."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6O","java:S3776","CODE_SMELL","OPEN","CRITICAL","HIGH","2200","Refactor this method to reduce its Cognitive Complexity from 99 to the 15 allowed."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6R","java:S3776","CODE_SMELL","OPEN","CRITICAL","HIGH","2488","Refactor this method to reduce its Cognitive Complexity from 37 to the 15 allowed."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6S","java:S1172","CODE_SMELL","OPEN","MAJOR","MEDIUM","2488","Remove this unused method parameter ""classNode""."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6T","java:S125","CODE_SMELL","OPEN","MAJOR","MEDIUM","2489","This block of commented-out lines of code should be removed."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6U","java:S3776","CODE_SMELL","OPEN","CRITICAL","HIGH","2770","Refactor this method to reduce its Cognitive Complexity from 107 to the 15 allowed."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6V","java:S1181","CODE_SMELL","OPEN","MAJOR","MEDIUM","3027","Catch Exception instead of Throwable."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6X","java:S1181","CODE_SMELL","OPEN","MAJOR","MEDIUM","3034","Catch Exception instead of Throwable."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6Z","java:S3776","CODE_SMELL","OPEN","CRITICAL","HIGH","3105","Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6a","java:S1181","CODE_SMELL","OPEN","MAJOR","MEDIUM","3560","Catch Exception instead of Throwable."
"C1","5675A2AB26EDAF7E340A765F8459815DB5DD8F38B1F38ED80F161C35D379C1F5","cf9a49ec-a0d9-4c7c-a1a8-43352452f5a5","3711b85ca3a61d4d0635b86676f925e8a79ca1fe","2026-08-28T16:02:27+0000","AaAleRvSmNh_xRbasz6b","java:S3776","CODE_SMELL","OPEN","CRITICAL","HIGH","3797","Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed."
