IssueKey,FixCommitId,ParentCommitId,FixedFilePath,BlamedFilePath,BugIntroducingCommitId,BlamedLineCount
"OPENJPA-100","6055a34b4215b472dce012d28ead7a2a7c6f8f19","9851f6274855162bc6dd6e95cd06adf782c5e1a2","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java","openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java","7a6d34e95f66e916e44b844b1ce6551ba8169539",1
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201","d86b15e30d60b33bb64acff76077b004446bc68d","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","315cc2d1555925da6f62b808976792676ec2bcea",8
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201","d86b15e30d60b33bb64acff76077b004446bc68d","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","55720f220bb769a21cb3161f240a9f7937d27dd6",1
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201","d86b15e30d60b33bb64acff76077b004446bc68d","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","5d4d50df96e29335937e5fb12df0b6787d5c525e",2
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201","d86b15e30d60b33bb64acff76077b004446bc68d","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","5e590a951ee9a24d3c019f8eb67ced2d819261a0",1
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201","d86b15e30d60b33bb64acff76077b004446bc68d","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","70f3a94b36c3fc63924dd0748513023fd8372faa",1
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201","d86b15e30d60b33bb64acff76077b004446bc68d","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","7d1c8fccafcd31919a79edf46969c5662e2704b5",1
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201","d86b15e30d60b33bb64acff76077b004446bc68d","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","80d2c39020e4aa201d1bc066db6d97044863e1a1",1
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201","d86b15e30d60b33bb64acff76077b004446bc68d","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","a54f84262450b1cafe497ed0b058f1e9bd5f31bc",4
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201","d86b15e30d60b33bb64acff76077b004446bc68d","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","a8e0dc180e8b360c4e72eca7c131b2826eceaedd",13
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201","d86b15e30d60b33bb64acff76077b004446bc68d","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java","f62ea1ab0d2922377368ca5d31bbcbea57ecbc3c",1
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201","d86b15e30d60b33bb64acff76077b004446bc68d","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java","7d1c8fccafcd31919a79edf46969c5662e2704b5",1
"OPENJPA-1002","e4b87fd6b34dfb2b508b387bf8e365507509eb4f","0daf1bffc8bef922263cee1cb5da605137fdcba1","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java","90b84c5d73db4d0d7fa3e5520358912961b59c43",7
"OPENJPA-1004","f21f7b5ae5d52a2897fc96916ef20fb6f0f541a8","33ed6bfb7f4c9372cc2196394e6dc9dc2b9ee203","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java","7d1c8fccafcd31919a79edf46969c5662e2704b5",1
"OPENJPA-1004","f21f7b5ae5d52a2897fc96916ef20fb6f0f541a8","33ed6bfb7f4c9372cc2196394e6dc9dc2b9ee203","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java","050a99a3e4e767988a50aae0f370526b2cf3ca77",1
"OPENJPA-102","c7128669c7e1f439f45c62d07b58e8add38343d2","d58ba3b25be046a2963d362b5addb4b104592212","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java","7a6d34e95f66e916e44b844b1ce6551ba8169539",1
"OPENJPA-102","c7128669c7e1f439f45c62d07b58e8add38343d2","d58ba3b25be046a2963d362b5addb4b104592212","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java","openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java","979d2340e93eaaa9f273a100dbe78e42ea9ed400",1
