Project,Class,ReleaseIndex,LOC,LOC_TOUCHED,NR,NAUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE_WEEKS,WEIGHTED_AGE_WEEKS,IGNORED_ZERO_LOC_REVS,NSmells,NFIX,BUGGY
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/OrderColumn.java,1,16,289,7,1,167,53,23.857143,45,53,6.428571,3018,773,431.142857,14.857143,8.404844,2,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingDefaults.java,1,110,165,1,1,165,165,165.000000,165,165,165.000000,476,476,476.000000,5.428571,5.428571,1,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingFactory.java,1,29,58,1,1,58,58,58.000000,58,58,58.000000,476,476,476.000000,5.428571,5.428571,1,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/Strategy.java,1,10,234,8,1,134,35,16.750000,34,35,4.250000,3313,773,414.125000,14.857143,8.132479,1,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/SubclassFetchMode.java,1,10,184,5,1,109,36,21.800000,34,34,6.800000,2606,773,521.200000,8.142857,6.739907,1,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/Unique.java,1,14,285,7,1,163,53,23.285714,41,53,5.857143,3018,773,431.142857,14.857143,8.446617,2,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/VersionColumn.java,1,17,296,7,1,172,53,24.571429,48,53,6.857143,3018,773,431.142857,14.857143,8.349903,2,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/VersionColumns.java,1,10,184,5,1,109,36,21.800000,34,34,6.800000,2606,773,521.200000,8.142857,6.739907,1,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/VersionStrategy.java,1,10,230,8,1,132,35,16.500000,34,35,4.250000,3313,773,414.125000,14.857143,8.179503,1,0,0,NO
OPENJPA,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XJoinColumn.java,1,19,159,4,1,105,45,26.250000,51,42,12.750000,2323,773,580.750000,6.571429,6.299191,1,0,0,NO
