"Variant","SourceSHA256","SonarAnalysisKey","SonarRevision","SonarAnalysisDate","IssueKey","Rule","Type","IssueStatus","Severity","MaintainabilitySeverity","Line","Message"
"C4","B2DD3CF39FE3BB9B41F6DBE796DF573345B4571F842E1F316EDBA13BDD973DE4","6cbb7f54-d929-4b37-a3eb-cd5e7df6484f","2a2d42f5e3c8ee90b5c7949c36196bc1fc05c08c","2026-08-28T16:22:45+0000","AaBJMbmQDiEd9r7Vsgw0","java:S6355","CODE_SMELL","OPEN","MAJOR","MEDIUM","269","Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
"C4","B2DD3CF39FE3BB9B41F6DBE796DF573345B4571F842E1F316EDBA13BDD973DE4","6cbb7f54-d929-4b37-a3eb-cd5e7df6484f","2a2d42f5e3c8ee90b5c7949c36196bc1fc05c08c","2026-08-28T16:22:45+0000","AaBJMbmQDiEd9r7Vsgw4","java:S6355","CODE_SMELL","OPEN","MAJOR","MEDIUM","345","Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
"C4","B2DD3CF39FE3BB9B41F6DBE796DF573345B4571F842E1F316EDBA13BDD973DE4","6cbb7f54-d929-4b37-a3eb-cd5e7df6484f","2a2d42f5e3c8ee90b5c7949c36196bc1fc05c08c","2026-08-28T16:22:45+0000","AaBJMbmQDiEd9r7Vsgw6","java:S1135","CODE_SMELL","OPEN","INFO","INFO","753","Complete the task associated to this TODO comment."
"C4","B2DD3CF39FE3BB9B41F6DBE796DF573345B4571F842E1F316EDBA13BDD973DE4","6cbb7f54-d929-4b37-a3eb-cd5e7df6484f","2a2d42f5e3c8ee90b5c7949c36196bc1fc05c08c","2026-08-28T16:22:45+0000","AaBJMbmQDiEd9r7Vsgw7","java:S3878","CODE_SMELL","OPEN","MINOR","LOW","767","Remove this array creation and simply pass the elements."
"C4","B2DD3CF39FE3BB9B41F6DBE796DF573345B4571F842E1F316EDBA13BDD973DE4","6cbb7f54-d929-4b37-a3eb-cd5e7df6484f","2a2d42f5e3c8ee90b5c7949c36196bc1fc05c08c","2026-08-28T16:22:45+0000","AaBJLXcfieAPpelvt7ED","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","342","Define a constant instead of duplicating this literal ""$pcsubclass"" 3 times."
"C4","B2DD3CF39FE3BB9B41F6DBE796DF573345B4571F842E1F316EDBA13BDD973DE4","6cbb7f54-d929-4b37-a3eb-cd5e7df6484f","2a2d42f5e3c8ee90b5c7949c36196bc1fc05c08c","2026-08-28T16:22:45+0000","AaBJLXceieAPpelvt7D-","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","1248","Define a constant instead of duplicating this literal ""<init>"" 22 times."
"C4","B2DD3CF39FE3BB9B41F6DBE796DF573345B4571F842E1F316EDBA13BDD973DE4","6cbb7f54-d929-4b37-a3eb-cd5e7df6484f","2a2d42f5e3c8ee90b5c7949c36196bc1fc05c08c","2026-08-28T16:22:45+0000","AaBJLXcfieAPpelvt7EQ","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","1347","Define a constant instead of duplicating this literal ""ClearFields"" 3 times."
"C4","B2DD3CF39FE3BB9B41F6DBE796DF573345B4571F842E1F316EDBA13BDD973DE4","6cbb7f54-d929-4b37-a3eb-cd5e7df6484f","2a2d42f5e3c8ee90b5c7949c36196bc1fc05c08c","2026-08-28T16:22:45+0000","AaBJLXcfieAPpelvt7EA","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","1454","Define a constant instead of duplicating this literal ""CopyKeyFieldsFromObjectId"" 5 times."
"C4","B2DD3CF39FE3BB9B41F6DBE796DF573345B4571F842E1F316EDBA13BDD973DE4","6cbb7f54-d929-4b37-a3eb-cd5e7df6484f","2a2d42f5e3c8ee90b5c7949c36196bc1fc05c08c","2026-08-28T16:22:45+0000","AaBJLXcfieAPpelvt7EP","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","1469","Define a constant instead of duplicating this literal ""GetManagedFieldCount"" 3 times."
"C4","B2DD3CF39FE3BB9B41F6DBE796DF573345B4571F842E1F316EDBA13BDD973DE4","6cbb7f54-d929-4b37-a3eb-cd5e7df6484f","2a2d42f5e3c8ee90b5c7949c36196bc1fc05c08c","2026-08-28T16:22:45+0000","AaBJLXcfieAPpelvt7ER","java:S1192","CODE_SMELL","OPEN","CRITICAL","HIGH","2110","Define a constant instead of duplicating this literal ""CopyKeyFieldsToObjectId"" 4 times."
