IssueKey,FixCommitId,Status,EvidenceRows,FixedFiles,BugIntroducingCommits,BlamedLines,SameIssueFixRowsSkipped,SameIssueFixBlamedLinesSkipped
"OPENJPA-1135","ac12bb4ade57471e9eefa6f66ca9521c867d9adf",NO_EVIDENCE,0,0,0,0,1,1
"OPENJPA-1141","530a190ebb90ffd97adc3a961c6d85c896ea9f41",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1142","4991e6bdc22bdda1ac5d8bee44f9f3e73d94a2d0",EVIDENCE,10,5,5,47,0,0
"OPENJPA-115","3c58b8840cfe65a2cbe4283897c846e18919311e",EVIDENCE,2,1,2,7,0,0
"OPENJPA-1155","9ee5383721d40820f36cfbc30618b8a56e9b348b",EVIDENCE,1,1,1,2,0,0
"OPENJPA-116","17c6580e4ce21e706513f77586372d9bf257a244",EVIDENCE,11,1,11,1108,0,0
"OPENJPA-1163","5232b727949d00add9cb61e153cbbcdc9e13c769",EVIDENCE,11,11,4,25,0,0
"OPENJPA-1168","f6413764d5b41a83003a163b74023dce8398fb05",EVIDENCE,1,1,1,5,0,0
"OPENJPA-1174","9a4406038e22e14cd9a5b6ac96bb4cd2244dcb6f",NO_EVIDENCE,0,0,0,0,1,2
"OPENJPA-1174","ff932542e851f486df77726ee5ea2c9fe65a901a",EVIDENCE,1,1,1,12,0,0
"OPENJPA-118","2ac1bcccbb4070da2c86bfee4c7368d9466141ca",EVIDENCE,5,3,3,7,0,0
"OPENJPA-1184","048419e89b2ccdfb3c3f32d86ec1dd4b81bda8a5",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1185","222e01d2f3215aafd876380e3ac270c37252a95d",EVIDENCE,11,2,10,31,0,0
"OPENJPA-1185","53805483fc610b6f8491eec1e027ce99ca735553",EVIDENCE,1,1,1,1,7,73
"OPENJPA-1185","a32bb62381a03d9901298e55daf68569f0394942",NO_EVIDENCE,0,0,0,0,1,3
"OPENJPA-1185","ccfbe6cd3187c1a585633c32e8db9486e591a099",EVIDENCE,7,4,6,28,9,40
