Configuration,Classifier,Repetitions,PrecisionMean,PrecisionStdDev,PrecisionMin,PrecisionMax,RecallMean,RecallStdDev,RecallMin,RecallMax,AUCMean,AUCStdDev,AUCMin,AUCMax,KappaMean,KappaStdDev,KappaMin,KappaMax,NPofB20Mean,NPofB20StdDev,NPofB20Min,NPofB20Max
C1,IBk,10,0.660342109506,0.004612054378,0.652261306533,0.668186423506,0.648407960199,0.005281084047,0.639303482587,0.656218905473,0.803074908112,0.003007054619,0.798575315736,0.807618015594,0.590825648534,0.005210930175,0.583708155122,0.600092622889,0.530199004975,0.005223485731,0.523383084577,0.539303482587
C1,NaiveBayes,10,0.519176203904,0.001328858054,0.517647058824,0.521497919556,0.372437810945,0.001200461763,0.371144278607,0.374626865672,0.805078664042,0.000445266734,0.804301740880,0.805614891550,0.348503288447,0.001345677351,0.347119707809,0.350863997127,0.198308457712,0.000819176719,0.197014925373,0.200000000000
C1,RandomForest,10,0.842343324241,0.002775338698,0.836605080831,0.847189695550,0.721641791045,0.002240340976,0.718905472637,0.725870646766,0.960648756035,0.000678632728,0.959496623662,0.961713095340,0.739718928292,0.001973066390,0.736214499108,0.742980080892,0.691393034826,0.002967054509,0.687562189055,0.698009950249
C2,IBk,10,0.703972514293,0.006658375730,0.695069667738,0.715217391304,0.651840796020,0.005791504468,0.642288557214,0.657213930348,0.901090333939,0.004410812733,0.892543103805,0.905078064325,0.619623521586,0.006788848741,0.609992424917,0.627949112128,0.626666666667,0.007365126064,0.612935323383,0.634328358209
C2,NaiveBayes,10,0.550951002512,0.005408983506,0.541766109785,0.557270511779,0.341592039801,0.003746605969,0.334328358209,0.347263681592,0.793466930083,0.003543979043,0.788871617343,0.798916488130,0.342946067252,0.003780596876,0.337006337388,0.348289112785,0.206417910448,0.004734071869,0.199004975124,0.212935323383
C2,RandomForest,10,0.738166990637,0.004521412216,0.729144095341,0.744224422442,0.670099502488,0.004359034278,0.665174129353,0.679104477612,0.942305310231,0.001078245102,0.940914125107,0.943917329113,0.650377490337,0.004136303580,0.644890981506,0.657884241037,0.674129353234,0.002745098732,0.669154228856,0.678606965174
C3,IBk,10,0.607012692813,0.004869904692,0.600414937759,0.616779089376,0.722189054726,0.003558363783,0.719402985075,0.727860696517,0.826392067466,0.002605431620,0.822835733580,0.830654826735,0.589799184456,0.004451254615,0.583655295607,0.599904709531,0.562338308458,0.003708609574,0.558706467662,0.572139303483
C3,NaiveBayes,10,0.510160453480,0.001218935806,0.507926442613,0.512040557668,0.399701492537,0.001054079508,0.398507462687,0.401990049751,0.806137792012,0.000283924912,0.805692211398,0.806567982184,0.360202070815,0.001218701408,0.358251598511,0.362596018816,0.211343283582,0.001363502805,0.209950248756,0.213432835821
C3,RandomForest,10,0.786253292668,0.003477086887,0.782565626548,0.792341678940,0.793880597015,0.004795256024,0.786069651741,0.802985074627,0.963240554111,0.000794588208,0.961606478967,0.964160699367,0.750841708720,0.004496964902,0.744162412984,0.759757041321,0.690995024876,0.002530855980,0.687064676617,0.695024875622
C4,IBk,10,0.666297383362,0.008680877555,0.650388936906,0.675770925110,0.752238805970,0.007179058316,0.743283582090,0.763681592040,0.906992602570,0.003977334710,0.897686447680,0.909808154866,0.648211693722,0.008383714852,0.633807388723,0.660416461119,0.640547263682,0.005187559642,0.628855721393,0.644776119403
C4,NaiveBayes,10,0.522222166080,0.003725158233,0.517171717172,0.529005524862,0.381542288557,0.004112301370,0.376616915423,0.389552238806,0.794368442748,0.003324210487,0.789730890164,0.799142036906,0.355736803544,0.003173763647,0.351680920709,0.360205391159,0.259402985075,0.010642580663,0.238308457711,0.269651741294
C4,RandomForest,10,0.699132098754,0.006833120786,0.685176892073,0.709647919524,0.763283582090,0.006042495139,0.751243781095,0.772139303483,0.942625402913,0.001001465522,0.940479709342,0.944237936495,0.676975567453,0.006072344559,0.666164861970,0.688787672452,0.678109452736,0.002622120779,0.674129353234,0.683084577114
